alt_LandUse_1_Env093_BUILT,alt_LandUse_1_Env094_INTENSIVE,alt_LandUse_1_Env095_HERBCROPS,alt_LandUse_1_Env096_WoodCrops,alt_LandUse_1_Env097_HETEROGENEO,alt_LandUse_1_Env098_Natural,alt_LandUse_1_Env99_MainLU,Climate_Env001_Tref,Climate_Env002_PPTref,Climate_Env003_ET0ref,Climate_Env004_Rad,Climate_Env006_Snow,Climate_Env007_WaterBal,Topography_Env013_Slope,Topography_Env015_Zmean,Topography_Env104_MGU_litt,social_1_S042_Pdens,social_1_S003_MsR,social_1_S007_EGR,social_1_S008_DT,social_1_S013_IME,social_1_S015_ODI,social_1_S036_Tbmortalid,social_1_S040_Tbnatalidad,Topography_S048_distBigCity,econ_Education_1_S042_literacyIndex,econ_Education_1_S043_enrollmentIndex,econ_Education_1_S044_eduIndex,social_1_S46_HDI,social_1_Ec001_ActR,altEconomyClass_1_Ec108_Paro,altEconomyClass_1_Ec109_incomePerCapita,altEconomyClass_1_Ec110_incomeIndex,altEconomyClass_1_Ec077_EarnedIncome,econ_Education_1_Ec111_Illiterate,econ_Education_1_Ec_112_NoStudies,econ_Education_1_Ec91_EduPrimHab,econ_Education_1_Ec92_EduSecunHab,econ_Education_1_Ec93_EduBachiHab,econ_Education_1_Ec94_EduUnivHab,altEconomyClass_1_Ec113_Education,altEconomyClass_1_Ec095_OcuPrimHab,altEconomyClass_1_Ec096_OcuSecunHab,altEconomyClass_1_Ec097_OcuTradingHab,altEconomyClass_1_Ec098_OcuHospitalityHab,altEconomyClass_1_Ec100_OcuBankingHab,altEconomyClass_1_Ec101_OcuServicesHab,altEconomyClass_1_Ec109_OcuTradBankServHab,ecosystemServices_1_Env104_TraditionalAgriculture ,ecosystemServices_1_Env105_IntensiveAgriculture ,ecosystemServices_1_Env106_Shepherding ,ecosystemServices_1_Env107_ForestHarvesting ,ecosystemServices_1_Env108_FiberHarvesting ,ecosystemServices_1_Env109_Freshwater ,ecosystemServices_1_Env110_CleanEnergy ,ecosystemServices_1_Env111_Timber ,ecosystemServices_1_Env112_Apiculture ,ecosystemServices_1_Env113_MedicinalCompounds ,ecosystemServices_1_Env114_AirQuality ,ecosystemServices_1_Env115_MicroclimateRegulation ,ecosystemServices_1_Env116_HabitatSpecies ,ecosystemServices_1_Env117_WaterRegulation ,ecosystemServices_1_Env118_WaterQuality ,ecosystemServices_1_Env119_ErosionControlSoilProtection,ecosystemServices_1_Env120_SoilFertility ,ecosystemServices_1_Env121_SeedDispersal ,ecosystemServices_1_Env122_Pollination ,ecosystemServices_1_Env123_BiologicalInvasionsPlaguesPrevention,ecosystemServices_1_Env124_NaturalAccidentsMitigation,ecosystemServices_1_Env125_SatisfactionConservingSpecies,ecosystemServices_1_Env126_Relaxation ,ecosystemServices_1_Env127_TraditionalEcologicalKnowledge,ecosystemServices_1_Env128_ScienticKnowledge ,ecosystemServices_1_Env129_EnvironmentalEducation ,ecosystemServices_1_Env130_RecreationalHunting ,ecosystemServices_1_Env131_Tourism ,ecosystemServices_1_Env132_AestheticValues ,ecosystemServices_1_Env133_LocalIdentity
Scarce,Scarce,Fair,Scarce,Scarce,Fair,Natural land,Low,Low,Moderate,High,Low,Low,Gentle,High,Baetic Systems,Low,More females,Decrease,Slowly to halftime,Emigration,Low,Low,High,Moderate,Moderate,Low,Low,Low,Average,High,Low,Low,Low,Low,Low,High,Moderate,Low,Low,Elementary school,Moderate,Moderate,Low,High,Low,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate
Scarce,Scarce,Fair,Scarce,Scarce,Fair,Herbaceous crops,Low,Very low,Moderate,Moderate,None,Low,Gentle,High,Baetic Systems,Moderate,More females,Increase,Slowly to doubling time,Immigration,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Average,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High school or higher,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,High,Low,Low,Low,Low,High,High,Moderate,Moderate,Moderate,Low,Moderate
Abundant,Scarce,Fair,Fair,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Big city,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,Moderate,High school or higher,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Abundant,Scarce,Scarce,Fair,Scarce,Scarce,Built,High,Moderate,High,High,None,Moderate,Flat,Low,Baetic Depression,High,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Middle school,Moderate,Moderate,High,Low,Low,Moderate,Moderate,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Low,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,Moderate,High,None,Low,Flat,Low,Baetic Depression,High,More females,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Middle school,Low,High,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Low,Low,High,High,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Slowly to doubling time,Immigration,Moderate,Low,Low,Near,Moderate,Low,Low,Low,Average,High,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Low,Elementary school,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,Moderate,Moderate,Low,High,Low,Moderate,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Moderate,Low,Moderate,High,Low,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Slowly to doubling time,Immigration,Moderate,Moderate,Moderate,Near,Moderate,Moderate,Low,Moderate,Average,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Low,No studies,Low,Low,Moderate,Moderate,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Abundant,Fair,Fair,Scarce,Scarce,Scarce,Built,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More females,Increase,Fast to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,High,Very low,High,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Low,Far,High,High,High,Moderate,Low,Average,Low,Low,Moderate,Low,High,Low,Moderate,Moderate,Moderate,No studies,Low,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Fair,Scarce,Fair,Fair,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More females,Decrease,Slowly to halftime,Balanced,Moderate,Moderate,Low,Far,Moderate,Moderate,Moderate,Low,Average,Average,Moderate,Moderate,Low,Moderate,High,Moderate,Low,Low,Low,No studies,High,Low,Low,Moderate,Moderate,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Fair,Scarce,Scarce,Fair,Natural land,High,Low,Moderate,High,None,Low,Flat,Low,Littoral,Moderate,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,No studies,High,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Far,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Middle school,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,Moderate,Low,Low,High,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Moderate,Very low,Moderate,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,Moderate,Low,Low,Moderate,High,High,High,Moderate,Average,Low,Moderate,Moderate,Moderate,Low,High,Low,Moderate,Moderate,Moderate,No studies,Low,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,Moderate,High,High,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Fair,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Low,Very low,Moderate,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Decrease,Moderately to halftime,Emigration,Moderate,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,Average,Average,Low,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Elementary school,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate
Fair,Scarce,Dominant,Fair,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More females,Stable,Slowly to doubling time,Immigration,Moderate,Low,Moderate,Near,Moderate,Low,Low,Low,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,Low,Low,Elementary school,High,Moderate,Moderate,Moderate,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Moderate,High,High,None,Moderate,Flat,Low,Baetic Depression,High,More females,Increase,Fast to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Low,Moderate,High,Moderate,Low,Low,High,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,High,Low,High,High,None,Low,Flat,Low,Littoral,Low,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Moderate,Moderate,Moderate,Low,Moderate,High,Average,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Low,Middle school,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High,High,High,High,Moderate,High,Moderate,Moderate,High,Low,High,Moderate,High,High,High,High,Moderate,High,High,Moderate
Fair,Scarce,Scarce,Fair,Scarce,Fair,Natural land,Moderate,Very low,Moderate,Moderate,None,Low,Flat,Moderate,Baetic Systems,High,More females,Increase,Slowly to doubling time,Emigration,Moderate,Low,High,Moderate,Low,Moderate,Low,Low,High,High,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Elementary school,Moderate,High,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,High
Fair,Scarce,Scarce,Scarce,Scarce,Fair,Natural land,High,Low,Moderate,Moderate,None,Low,Flat,Low,Littoral,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,High,Moderate,High,High,High,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High
Scarce,Scarce,Scarce,Fair,Fair,Fair,Natural land,Moderate,Very low,Moderate,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,High,Moderate,Low,Moderate,High,High,High,Moderate,Average,Low,Moderate,Moderate,Moderate,Low,High,Low,Low,Moderate,High,No studies,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Fair,Fair,Fair,Scarce,Scarce,Fair,Natural land,High,Low,Moderate,Moderate,None,Low,Flat,Low,Littoral,Moderate,More females,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Middle school,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate
Scarce,Scarce,Fair,Scarce,Scarce,Fair,Natural land,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Low,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,High,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Middle school,Moderate,Low,Moderate,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Low,Moderate,High,Low,Moderate,Low,Moderate,High,High,Moderate,Moderate,High,Moderate,High
Abundant,Scarce,Fair,Scarce,Scarce,Scarce,Built,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,Moderate,High,High,High,Moderate,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Gentle,Low,Baetic Systems,Moderate,More males,Increase,Slowly to doubling time,Emigration,Low,Low,High,Far,Moderate,Low,Low,Low,High,Average,Low,Low,Low,Moderate,High,Low,Moderate,Low,Low,No studies,High,Moderate,Low,Low,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Fair,Fair,Scarce,Dominant,Natural land,Very low,Low,Moderate,High,Low,Low,Moderate,High,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,Moderate,Moderate,Moderate,Near,High,Moderate,Moderate,Low,Low,Average,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,No studies,Low,Low,High,High,Moderate,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Fair,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Moderate,Moderate,High,High,Low,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Moderate,Low,High,High,None,Low,Moderate,Moderate,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,High,High,Low,Moderate,Low,Low,Low,Low,Low,Average,Low,Low,Low,High,High,Low,Moderate,Low,Low,No studies,High,Low,Low,High,Moderate,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Moderate,High,Low,Moderate,Moderate,High,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,Low,Moderate,High,Near,High,High,High,High,Average,Average,High,High,High,Low,Low,Low,Moderate,High,Moderate,High school or higher,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Low,Low,Moderate,Moderate,Low,Low,Moderate,High,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Low,Low,Low,High,Moderate,Moderate,Low,Low,Low,No studies,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,High,High,High,High,High,Moderate,High,High,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Fair,Scarce,Fair,Fair,Scarce,Fair,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More females,Increase,Slowly to doubling time,Emigration,Moderate,Low,Moderate,Big city,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Low,High,High,High,High,High,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,Low,Low,Low,High,Low,Moderate,Low,Moderate,High,High,Moderate,Low,High,Moderate,High
Fair,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Far,Moderate,Low,Low,Low,High,Low,Low,Moderate,Low,Moderate,Moderate,Moderate,High,Low,Low,Middle school,Moderate,Moderate,Moderate,Low,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Low,Moderate,High,Moderate,Low,Low,High,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Fair,Dominant,Natural land,Low,Very low,Moderate,Low,None,Low,Steep,High,Baetic Systems,Low,More males,Stable,Slowly to doubling time,Immigration,Moderate,Low,Low,Moderate,High,High,High,Low,Low,High,Low,Low,Low,Low,Low,High,Moderate,Low,Moderate,Elementary school,Low,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High
Fair,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Moderate,Very low,Moderate,Low,None,Low,Steep,Moderate,Baetic Systems,Moderate,More males,Increase,Slowly to doubling time,Immigration,Low,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,No studies,Low,High,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,High,High,High,High,High,High,High,Moderate,High,Moderate,High,High,Low,Moderate,Moderate,Low,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Moderate,Low,Moderate,Moderate,None,Low,Moderate,Moderate,Baetic Systems,Low,More males,Decrease,Slowly to halftime,Balanced,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Average,Average,Low,Moderate,Low,Moderate,High,Low,Moderate,Low,Low,No studies,High,Moderate,Low,High,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,Moderate,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,Moderate,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Middle school,Low,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Dominant,Scarce,Scarce,Fair,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Low,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,Moderate,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Elementary school,Low,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Low,Moderate,High,High,Moderate,Moderate,High,Moderate,High
Fair,Scarce,Fair,Fair,Scarce,Fair,Natural land,High,Low,Moderate,Moderate,None,Low,Flat,Low,Littoral,High,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Low,Low,Elementary school,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Low,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Moderate,High,Low,Moderate,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Fair,Dominant,Natural land,Low,Very low,Moderate,Moderate,None,Low,Steep,High,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,High,Low,Low,Moderate,Moderate,High,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate,Moderate,High,Low,Low,Moderate,Moderate,No studies,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Fair,Dominant,Natural land,Low,Very low,Moderate,Moderate,Low,Low,Steep,High,Baetic Systems,Low,More males,Decrease,Slowly to halftime,Balanced,Moderate,Low,Low,Moderate,Moderate,High,Moderate,Moderate,Average,High,Low,Moderate,Low,Moderate,Low,High,High,Low,Low,Elementary school,Low,High,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Dominant,Fair,Scarce,Woody crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,High,Low,Low,Moderate,Moderate,Moderate,Low,Middle school,Low,High,High,High,Moderate,Moderate,High,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
